user_id,email,user_type,name,phone_number,zipcode,road_address,address_detail,preferred_categories,created_at,updated_at,last_login_at
user_000001,seungminmun@example.org,public_officer,류서준,032-424-9695,23467,부산광역시 남구 도산대로 858 (혜진박동),전라남도 성남시 중원구 영동대거리 166-89 (승민한면),,2024-04-12T21:53:04,2024-04-12T21:53:04,2025-02-24T21:53:04
user_000002,bagseonyeong@example.com,public_officer,심윤서,070-9249-0770,86209,대전광역시 서구 반포대79가 909-18 (재호김안면),전라남도 안산시 단원구 서초중앙로 748-36,,2024-03-26T20:00:19,2024-03-26T20:00:19,2024-04-17T20:00:19
user_000003,ki@example.org,public_officer,서영식,041-994-1736,71500,세종특별자치시 동구 잠실로 341-30 (영철이면),충청북도 용인시 처인구 개포로 489 (하은박구동),,2024-01-22T21:29:44,2024-01-22T21:29:44,2024-02-26T21:29:44
user_000004,yjang@example.org,public_officer,강경희,062-981-3460,55746,전라남도 시흥시 언주가 924 (준영이홍면),전라북도 수원시 영통구 도산대647로 520 (영길한리),,2023-12-14T16:42:23,2023-12-14T16:42:23,2024-06-19T16:42:23
user_000005,sanghyeon72@example.net,public_officer,송도윤,053-066-5865,31037,서울특별시 양천구 역삼가 981-87,전라남도 광명시 반포대길 940 (지혜김오읍),,2023-10-06T13:02:47,2023-10-06T13:02:47,2023-10-18T13:02:47
user_000006,gbag@example.com,public_officer,권우진,070-9633-7709,31413,광주광역시 강서구 언주05거리 279-36 (명숙김마을),광주광역시 영등포구 논현길 25 (경자황김마을),,2025-01-09T06:54:50,2025-01-09T06:54:50,2025-11-15T06:54:50
user_000007,gimjeongsig@example.net,public_officer,류은서,062-370-3309,02243,세종특별자치시 광진구 잠실2로 504,전라북도 성남시 중원구 양재천8가 지하170,,2023-11-11T21:27:32,2023-11-11T21:27:32,2024-02-21T21:27:32
user_000008,jihu01@example.net,public_officer,김정훈,051-985-1016,78201,경기도 천안시 동남구 논현7로 176,세종특별자치시 구로구 백제고분로 434-31,,2024-03-18T07:01:38,2024-03-18T07:01:38,2024-10-20T07:01:38
user_000009,yeonghyi18@example.net,public_officer,한수민,032-434-6217,94865,울산광역시 북구 테헤란5가 997,서울특별시 광진구 석촌호수거리 114,,2024-07-02T19:28:58,2024-07-02T19:28:58,2025-04-07T19:28:58
user_000010,ijunho@example.com,public_officer,고예지,031-641-9434,07573,경상남도 포천시 언주41길 959 (지아이마을),부산광역시 강동구 가락25거리 813-89,,2024-08-13T14:32:51,2024-08-13T14:32:51,2025-06-01T14:32:51
user_000011,ijaeho@example.net,general_user,오현정,033-276-4804,39714,대구광역시 마포구 테헤란로 434,울산광역시 양천구 반포대750로 137-67,식량,2024-09-01T18:10:32,2024-09-01T18:10:32,2024-11-25T18:10:32
